cell_name	Symbol
Long-projecting GABAergic cell	Ass1
Long-projecting GABAergic cell	Dbpht2
CCK basket cell	Ago2
Basket cell	Nog
Martinotti cell	Reln
Chandelier cell	Thbs1
Martinotti cell	Ano3
Long-projecting GABAergic cell	Rbp1
Long-projecting GABAergic cell	Arl4a
Chandelier cell	Tgfb3
Basket cell	Mitf
Long-projecting GABAergic cell	Sfrp1
Chandelier cell	Epb41l4a
Chandelier cell	Vcan
Long-projecting GABAergic cell	Dpy19l1
Interneuron-selective cell	Lrrc3b
Long-projecting GABAergic cell	Ndrg1
Interneuron-selective cell	Rasd2
Interneuron-selective cell	Miat
Long-projecting GABAergic cell	Adamts16
Long-projecting GABAergic cell	Arhgdig
Basket cell	Etv6
Long-projecting GABAergic cell	Ptn
Martinotti cell	Hopx
CCK basket cell	Slc25a29
Martinotti cell	Slc30a3
Oligodendrocyte precursor cell	Armh4
Neuron	Syt1
Mural cell	Vtn
Neuron	Ly6h
Endothelial cell	Slc2a1
Neuron	Ttc3
Mural cell	Arhgap29
Mural cell	Tpm2
Oligodendrocyte	Evi2a
Mural cell	Mylk
Endothelial cell	Lsr
Endothelial cell	Kank3
Oligodendrocyte	Stmn4
Astrocyte	Fut9
Oligodendrocyte	Grb14
Endothelial cell	Jcad
Neuron	Kif5c
Oligodendrocyte	Slc12a2
Neuron	Pcp4
Astrocyte	Gm3764
Neuron	Dynll2
Oligodendrocyte	Lgi3
Oligodendrocyte precursor cell	Rap1gap
Oligodendrocyte	Tmeff2
Neuron	Fbxl16
Neuron	S100b
Oligodendrocyte	Plekhh1
Neuron	Kif5a
Oligodendrocyte precursor cell	Sox10
Oligodendrocyte	Apod
Mural cell	Phldb2
Astrocyte	Ntsr2
Astrocyte	Paqr7
Astrocyte	Agt
Oligodendrocyte precursor cell	G0s2
Astrocyte	Gm9925
Mural cell	Nbl1
Oligodendrocyte precursor cell	Gjc3
Neuron	Atp1b1
Microglial cell	Cd37
Endothelial cell	Ramp2
Microglial cell	Vsir
Neuron	Stmn3
Endothelial cell	Ly6a
Endothelial cell	Emcn
Oligodendrocyte precursor cell	Ppfibp1
Neuron	Map1b
Astrocyte	Htra1
Astrocyte	Trim9
Oligodendrocyte precursor cell	Sh3bp4
Oligodendrocyte precursor cell	Cdo1
Oligodendrocyte	Lpar1
Astrocyte	Cldn10
